Unnamed: 0,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
4749,00:00:00,13,7,19,7,489,70,0,3,1,1993-01-01
4750,00:00:00,13,7,19,3,323,78,3,2,0,1993-01-02
4751,00:00:00,13,6,21,7,578,66,0,2,0,1993-01-03
4752,00:00:00,14,11,20,5,436,72,0,6,1,1993-01-04
4754,00:00:00,12,10,18,2,342,86,0,1,1,1993-01-06
4755,00:00:00,12,9,16,2,336,84,0,2,0,1993-01-07
4756,00:00:00,11,7,15,6,485,81,0,3,1,1993-01-08
4757,00:00:00,12,8,18,9,504,75,0,3,1,1993-01-09
4758,00:00:00,13,7,18,7,510,73,0,4,1,1993-01-10
4761,00:00:00,12,4,18,4,302,78,0,1,0,1993-01-13
4762,00:00:00,12,7,20,3,351,75,0,2,0,1993-01-14
4763,00:00:00,11,7,16,4,398,79,0,2,1,1993-01-15
4764,00:00:00,12,10,17,3,385,78,0,3,1,1993-01-16
4765,00:00:00,12,6,18,7,459,76,0,2,0,1993-01-17
4766,00:00:00,13,7,19,4,393,77,0,3,0,1993-01-18
4767,00:00:00,12,9,18,5,464,73,0,4,1,1993-01-19
4768,00:00:00,12,7,18,9,548,70,0,4,1,1993-01-20
4769,00:00:00,13,8,18,9,606,65,0,4,1,1993-01-21
4770,00:00:00,12,7,19,9,592,68,0,5,1,1993-01-22
4771,00:00:00,13,8,20,5,446,72,0,3,1,1993-01-23
4772,00:00:00,12,8,18,9,584,72,0,4,1,1993-01-24
4773,00:00:00,12,7,17,9,599,71,0,4,1,1993-01-25
4774,00:00:00,12,7,18,7,459,75,0,3,1,1993-01-26
4775,00:00:00,13,10,19,5,417,75,0,2,1,1993-01-27
4776,00:00:00,13,7,20,8,574,76,0,5,1,1993-01-28
4777,00:00:00,13,9,19,8,534,72,0,3,1,1993-01-29
4778,00:00:00,13,9,20,7,506,71,0,5,1,1993-01-30
4779,00:00:00,14,8,20,7,510,68,0,3,1,1993-01-31
4780,00:00:00,13,10,18,3,374,75,0,2,1,1993-02-01
4781,00:00:00,13,10,19,3,326,83,5,2,0,1993-02-02
4782,00:00:00,12,4,20,7,635,74,0,5,1,1993-02-03
4783,00:00:00,13,9,17,4,164,78,0,2,1,1993-02-04
4785,00:00:00,12,8,16,7,480,75,0,2,1,1993-02-06
4787,00:00:00,12,6,17,6,519,81,0,3,1,1993-02-08
4788,00:00:00,11,9,14,0,302,82,2,1,0,1993-02-09
4789,00:00:00,12,5,17,4,406,75,0,2,1,1993-02-10
4790,00:00:00,12,9,17,4,398,78,0,3,0,1993-02-11
4791,00:00:00,13,11,17,6,510,81,0,3,1,1993-02-12
4792,00:00:00,13,10,21,9,578,75,0,7,1,1993-02-13
4793,00:00:00,14,7,19,9,525,69,0,4,1,1993-02-14
4794,00:00:00,15,5,22,8,557,65,0,6,1,1993-02-15
4795,00:00:00,14,9,20,9,601,55,0,4,0,1993-02-16
4796,00:00:00,14,6,22,9,593,66,0,5,1,1993-02-17
4797,00:00:00,13,5,21,10,574,64,0,4,1,1993-02-18
4798,00:00:00,13,7,20,10,640,73,0,6,1,1993-02-19
4799,00:00:00,13,5,21,7,500,74,0,3,1,1993-02-20
4800,00:00:00,12,7,17,7,483,77,0,2,1,1993-02-21
4801,00:00:00,12,9,17,3,364,71,0,3,0,1993-02-22
4802,00:00:00,13,6,20,9,546,71,0,2,1,1993-02-23
4803,00:00:00,13,9,21,4,377,75,0,3,0,1993-02-24
4804,00:00:00,13,9,21,5,437,75,9,5,0,1993-02-25
4805,00:00:00,13,8,20,8,526,73,0,3,1,1993-02-26
4806,00:00:00,13,6,20,8,572,71,0,5,1,1993-02-27
4807,00:00:00,13,7,20,5,588,70,0,2,1,1993-02-28
4808,00:00:00,13,10,17,7,504,77,0,4,1,1993-03-01
4809,00:00:00,14,8,20,5,445,73,6,2,0,1993-03-02
4810,00:00:00,14,5,19,8,618,69,0,3,1,1993-03-03
4811,00:00:00,12,9,17,1,347,79,0,2,1,1993-03-04
4812,00:00:00,13,10,18,2,406,82,0,4,0,1993-03-05
4813,00:00:00,12,8,16,7,487,73,0,3,1,1993-03-06
4814,00:00:00,12,7,17,5,406,83,0,2,0,1993-03-07
4815,00:00:00,12,9,15,8,527,82,1,2,1,1993-03-08
4817,00:00:00,10,7,17,2,277,82,0,1,0,1993-03-10
4818,00:00:00,11,10,16,0,277,86,2,1,0,1993-03-11
4819,00:00:00,13,11,18,4,334,79,0,0,0,1993-03-12
